Key	Predicted Flatness Score	if_kag
2RhF3-2	0.929168	0
2PtBr3-1	0.928959	0
1InNaP2O6-1	0.928938	1
1CoF2-2	0.928886	0
2Sb2O3-3	0.928801	0
3YCl3-1	0.928547	0
4TiF4-1	0.9285	0
2NOOsRbCl5-1	0.928185	0
1STa3Br7-1	0.92817	1
1BiCuP2Se6-1	0.928077	0
2FPSeO5-1	0.928037	0
2CoAs2Cl2O3-1	0.92798	0
2PtCl3-1	0.927674	0
4AsLiO2-1	0.927627	0
2KNbCl6-1	0.92749	0
2CdPS3-1	0.927428	0
2NaNbCl6-1	0.927386	0
1NaO2W2Cl6-1	0.927209	0
2HSbAs2O6-1	0.926662	0
2CoI3-1	0.9266	0
2ZnI2Sb2O3-1	0.926537	1
2SrAs2O6-1	0.926256	0
1B2Hg3O6-1	0.926227	0
2ClFeWO4-1	0.926168	0
2P2O5-1	0.925924	1
1PdCl3-1	0.925916	0
1BiBr3-1	0.925513	0
2AlBr3-1	0.925389	0
1PbWO4-1	0.925287	1
2NNaRuSF5-1	0.925157	0
4KSeO2-1	0.925007	0
2NiBi2Br2O3-1	0.924996	0
2CrCuP2Se6-1	0.924967	0
1CoBr2O8-1	0.924867	0
2RbF3N3O3-1	0.924849	0
2BrNiWO4-1	0.924674	0
2BCuIS-1	0.924584	0
1MnZrF6-1	0.924554	0
1SNb3F7-1	0.924402	1
2IMnWO4-1	0.924309	0
2CuS-2	0.92408	0
2BiBr3-4	0.9238	1
2AgCl3-1	0.923659	0
6OSn-1	0.923464	0
1SrF2-1	0.923444	0
1SrCl2-3	0.92342	0
2NbOCl2-1	0.923334	0
2NPSnF3O3-1	0.923162	0
2BrCsO3-1	0.923093	0
2VI3-1	0.922876	0
1SrAu2F12-1	0.92267	0
1CrMoF6-1	0.922657	0
1PdZrCl6-1	0.922635	0
2ClSbSnO3-1	0.922597	1
2SrP2O6-1	0.922567	0
2FNaO-1	0.922141	0
1CoCl2O8-1	0.922018	0
1SnCd2O4-1	0.921916	0
1CoNaP2Se6-1	0.921852	0
2ClFeMoO4-1	0.921799	0
2KNRuSCl5-1	0.921578	0
2KCl5-1	0.921507	0
1Co2Sb2O7-1	0.921455	0
1KTlBr4O12-1	0.921443	0
2AgPO3-2	0.921037	0
2IRbCl4-1	0.920704	0
1AuTlP2O6-1	0.920566	0
2FGePO3-1	0.920555	0
2PbSbO3-1	0.920405	0
2PdF3-1	0.920061	0
1Cu9Br11-1	0.919927	0
1AgCl-1	0.919819	0
2FeIWO4-1	0.919671	0
2YCl3-4	0.919588	1
2RuCl3-1	0.919563	0
2ClGeSbO3-1	0.919304	1
1MnSb2F12-1	0.919266	0
1SeTa3I7-1	0.919136	1
2OsCl3-1	0.919045	0
2As2O5-1	0.919037	1
1CaF2-2	0.918973	0
1MnAs2Na2Cl3S7-1	0.918911	0
4AsLiO2-2	0.918798	0
4KSbO2-1	0.918666	0
2ZnBi2Cl2O3-1	0.918332	0
1BaSb2F12-1	0.918094	1
1CuVP2S6-1	0.917864	0
2AsClSnO3-1	0.917846	0
1BaF2-1	0.917679	0
6ClCu-2	0.91753	0
2CrBr3-1	0.917523	0
2AlF3-2	0.917122	0
2KTaBr6-1	0.917042	0
2FSbP2O6-1	0.917033	0
1Sb2Sn3O9-1	0.917017	1
2BClCuS-1	0.917006	0
1CoLiAs2S6-1	0.916914	0
1AuInP2O6-1	0.916836	0
2CKORuCl5-1	0.916785	0
2YI3-1	0.916666	0
1AgBiP2Se6-1	0.916431	0
4CdIO-1	0.916428	0
2NNaORuF5-1	0.91627	0
2VI3-2	0.91586	1
2RhF3-1	0.915815	0
1MnK2P2F3O7-1	0.91581	0
1AgI-1	0.915735	0
1SeNb3I7-1	0.915459	1
2CKSF3O3-1	0.915456	0
1As2Fe2O7-1	0.915377	0
2FeIMoO4-1	0.915172	0
2ClCsO3-1	0.91512	0
2MnCl3-2	0.915041	0
2NiN2O6-1	0.915005	0
1NiPb2C6N6-1	0.914996	1
1MoSnO4-1	0.914922	1
1AlAuSb2O6-1	0.914815	0
1CoLiP2S6-1	0.914807	0
2CRbSeF3O3-1	0.914598	0
4AsNaO2-1	0.914343	0
1CoNaP2S6-1	0.914276	0
2WBr3-2	0.91425	0
2PtCl2O6-1	0.914125	0
2AsGeO3-1	0.914119	0
4AsNaO2-2	0.914115	0
2NNaOOsF5-1	0.913981	0
2RuBr3-1	0.913571	0
2CNNaTe-1	0.913476	0
1PbO2-2	0.913468	0
1PbBr2-3	0.91332	0
3CuI-1	0.913311	0
1CrCuP2Se6-1	0.913004	0
1PbF2-2	0.9129	0
2HSbP2O6-1	0.91269	0
1InNaBr4O12-1	0.912596	0
1FeZrF6-1	0.912577	0
3ClCu-2	0.912576	0
2CaP2O6-1	0.912532	0
1AgBr-1	0.912363	0
2YF3-2	0.912114	1
2BrRbO3-1	0.911956	0
4OSn-2	0.911863	0
8GeO2-1	0.9118	0
2CdRb2F4-1	0.911473	0
2MoCl3-1	0.911004	0
2AgN3C4-1	0.91078	0
1CuVP2Se6-1	0.91074	0
1BiFS2O6-1	0.910692	1
1Mn2I5-1	0.910684	0
1CoZrF6-1	0.910454	0
1SnNa2F6O6-1	0.910326	1
1AsNiO3-1	0.910236	1
1HgO-1	0.910229	0
1InNaSb2O6-1	0.909965	1
2CKNTe-1	0.909894	0
2HPTeO5-1	0.909868	0
2ClIMn-1	0.909754	0
2FKSe-1	0.909627	0
1CaAg2F12-1	0.909426	0
2SSnO4-1	0.90936	0
1CuInP2Se6-2	0.909183	0
2ClIMn-2	0.909102	0
1AuCrP2Se6-1	0.908651	0
2ZnBi2I2O3-1	0.908628	0
1BaI2-3	0.908543	0
2BBrCuS-1	0.908465	0
2FSbSnO3-1	0.908415	0
2AuF3-1	0.908411	0
2Cu3Cl4-1	0.908277	0
2MnI3-1	0.908237	0
2BrNaO2-1	0.908153	0
1MnNa2P2Cl3S7-1	0.90787	0
2CsIO3-1	0.907831	0
1MnZn2C6N6-1	0.907605	0
1TeNb3I7-1	0.907564	1
1TeTa3I7-1	0.907544	1
1SeNb3F7-1	0.907346	1
1InLiAs2O6-1	0.907292	1
1Nb3F8-1	0.907281	1
2KNPtCl3-1	0.907235	0
2KNO3-1	0.906917	0
2ClIMn-3	0.906903	0
2NOsRbO2Cl4-1	0.906754	0
2AsFGeO3-1	0.906631	1
1CuTlAs2Se6-1	0.906626	0
3ClCu-4	0.906598	0
1FeGe2C6N6-1	0.9064	1
2FGeSbO3-1	0.906368	1
2NNaOsSF5-1	0.906258	0
2LiNbI6-1	0.906104	0
2AgBr3-3	0.905641	0
4AgBr3-1	0.905593	0
2CsIF4-1	0.905509	0
2IrBr3-1	0.905481	0
2AgF3-1	0.905432	0
2NiBr3-1	0.905412	0
1STa3I7-1	0.905274	1
2MoSbO5-1	0.905068	1
1ReCu2F6-1	0.904999	0
2CNaRuO2Cl4-1	0.90493	0
1Nb3I8-1	0.904826	1
1Fe2Cl5-1	0.904743	0
2Sb2O3-2	0.904697	0
2MoI3-1	0.904635	0
2CLiNS-1	0.904539	0
1AgAlP2O6-1	0.904468	0
3MnI2-2	0.904421	0
2RhI3-1	0.904415	0
1CaCl2-3	0.904096	0
2TiCl3-1	0.904069	0
1HSbS2O6-1	0.903776	1
2LiNbF6-1	0.903575	0
1AuGeF6-1	0.903536	0
2TiF3-1	0.903491	1
1TeAg2O4-1	0.903452	0
2PdN2O6-1	0.903399	0
2FeCl3-4	0.903362	1
2KNOsO2Cl4-1	0.903233	0
2SbI3-1	0.90318	0
1AsCu3S4-1	0.903163	0
1MoAu2O4-2	0.903099	0
1BiHS2O6-1	0.902939	1
1GaNaBr4O12-1	0.902933	0
4KTeO2-1	0.90271	0
2AgCrP2Se6-1	0.902416	0
2FeI2Sb2O3-1	0.902398	0
2CoBi2I2O3-1	0.902393	0
2FSr-1	0.902318	0
2HgK2Cl4-1	0.902266	0
2AuCrO4-1	0.902166	0
2Te2Cu3-2	0.902164	0
1InLiBr4O12-1	0.902133	0
2BrFeWO4-1	0.902058	0
2TlF3-4	0.902003	1
2BrFeMoO4-1	0.901714	0
2TlF3-3	0.901451	1
1AuGaP2O6-1	0.901441	0
1Cl2Cu2S3As4-1	0.901345	0
2ZnBi2Br2O3-1	0.901328	0
5SnBr2-1	0.901283	0
2CRbTeF3O3-1	0.90127	0
1GaKBr4O12-1	0.901253	0
1SnCl2-1	0.901127	0
2FeMoSO6-1	0.90096	0
2InF3-3	0.900927	1
2PdCl2O6-1	0.90083	0
4NaSeO2-1	0.90069	0
2TlF3-1	0.900523	0
2KF3N3O3-1	0.900476	0
2MoSZnO6-1	0.90033	0
1SnBr2-3	0.900032	0
2RbCl5-1	0.900029	0
